iter	Passed	Remaining
753	7208	439
754	7215	430
755	7223	420
756	7231	410
757	7240	401
758	7247	391
759	7254	381
760	7261	372
761	7267	362
762	7279	352
763	7285	343
764	7293	333
765	7300	324
766	7308	314
767	7315	304
768	7322	295
769	7330	285
770	7337	275
771	7344	266
772	7353	256
773	7360	247
774	7366	237
775	7374	228
776	7381	218
777	7388	208
778	7395	199
779	7404	189
780	7412	180
781	7423	170
782	7431	161
783	7439	151
784	7447	142
785	7456	132
786	7464	123
787	7471	113
788	7478	104
789	7487	94
790	7495	85
791	7506	75
792	7514	66
793	7524	56
794	7533	47
795	7541	37
796	7551	28
797	7559	18
798	7570	9
799	7579	0
